,rating,genre,director,writer,theater_date,currency,box_office,runtime
1106,PG-13,Action and Adventure|Horror|Kids and Family|Science Fiction and Fantasy,Andrew Stanton|Mark Atkins,Mark Atkins|Mark Andrews|Michael Chabon|Andrew Stanton,2012,$,73058679,118 minutes
1112,PG-13,Comedy,,,2008,$,42168445,114 minutes
1117,PG,Kids and Family|Science Fiction and Fantasy,Chris Columbus,Steve Kloves,2002,$,261835892,161 minutes
1121,PG-13,Comedy,Jay Roach,John Hamburg|Jim Herzfeld,2000,$,164454835,108 minutes
1122,R,Art House and International|Drama|Mystery and Suspense,,,2011,$,3185193,117 minutes
1134,R,Comedy,Kevin Smith,Kevin Smith,2001,$,29885424,104 minutes
1138,R,Drama|Horror|Mystery and Suspense,,Steven Katz,2000,$,7518962,93 minutes
1145,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,David Bowers,Timothy Hyde Harris|David Bowers|Timothy Harris,2009,$,19548064,94 minutes
1151,R,Drama,Jocelyn Moorhouse,,2016,$,2021399,118 minutes
1154,NR,Art House and International|Drama|Mystery and Suspense|Romance,Louis Malle,Louis Malle,1958,$,109257,92 minutes
1156,G,Animation|Kids and Family|Science Fiction and Fantasy,Ben Stassen,Domonic Paris|Dominic Paris,2008,$,13592311,84 minutes
1159,PG-13,Comedy,Michael Salomon|Mikael Salomon,Rodney Carrington|Toby Keith,2008,$,586242,89 minutes
1161,R,Drama|Mystery and Suspense,David Fincher,Steven Zaillian,2011,$,102515793,157 minutes
1163,PG-13,Drama|Romance,Rob Marshall,Robin Swicord,2005,$,57000000,105 minutes
1173,PG,Comedy,Fred Savage,,2007,$,13155823,85 minutes
1178,R,Action and Adventure|Drama|Mystery and Suspense|Science Fiction and Fantasy,Paul Verhoeven,,1990,$,119000000,113 minutes
1182,PG,Comedy|Television,Barry Levinson,Barry Levinson,2006,$,37442180,115 minutes
1185,PG-13,Drama|Musical and Performing Arts,Shana Feste,Shana Feste,2011,$,20218921,112 minutes
1187,PG-13,Comedy,Steven Soderbergh,Rebecca Blunt,2017,$,27696504,119 minutes
1188,PG-13,Action and Adventure|Mystery and Suspense,Sam Mendes,John Logan|Robert Wade|Neal Purvis,2012,$,299300000,145 minutes
1190,PG-13,Comedy,Donald Petrie,Doug Richardson|Tom Schulman,2004,$,14244145,110 minutes
1191,R,Art House and International|Comedy|Romance,Dan Mazer,Dan Mazer,2013,$,5851913,97 minutes
1197,PG-13,Action and Adventure|Drama|Mystery and Suspense,John Singleton,Gary Scott Thompson|Derek Haas|Michael Brandt,2003,$,127083765,108 minutes
1202,R,Horror|Mystery and Suspense,Jonathan Liebesman,Sheldon Turner,2006,$,39418953,84 minutes
1203,PG-13,Drama|Musical and Performing Arts,Joe Wright,Susannah Grant,2009,$,31670931,117 minutes
1208,G,Kids and Family|Musical and Performing Arts,Britt Allcroft,Britt Allcroft,2000,$,2027042,95 minutes
1212,R,Comedy,Edgar Wright,Edgar Wright|Simon Pegg,2013,$,33408732,109 minutes
1213,PG-13,Comedy,Nicholas Jasenovec,Nicholas Jasenovec|Charlyne Yi,2009,$,1149350,89 minutes
1215,NC17,Comedy,John Waters,John Waters,2004,$,1260219,89 minutes
1220,R,Comedy,Maggie Carey,Maggie Carey,2013,$,3400000,104 minutes
1229,PG-13,Comedy|Romance,Andrew Tennant|Andy Tennant,Kevin Bisch,2005,$,177575142,120 minutes
1231,PG-13,Action and Adventure|Drama|Mystery and Suspense,Christopher Nolan,Jonathan Nolan|Christopher Nolan,2006,$,53100000,130 minutes
1232,NR,Art House and International|Drama|Romance,Haim Tabakman,Merav Doster,2010,$,463914,91 minutes
1235,PG-13,Action and Adventure|Drama|Mystery and Suspense,,Beau Thorne,2008,$,40632110,100 minutes
1237,PG-13,Action and Adventure|Science Fiction and Fantasy,Bryan Singer,Daniel Harris|Dan Harris|Michael Dougherty|Bryan Singer|David Hayter,2003,$,214813155,134 minutes
1238,PG,Action and Adventure|Animation|Kids and Family,Gore Verbinski,John Logan,2011,$,123188232,107 minutes
1239,PG,Drama|Musical and Performing Arts|Faith and Spirituality,Kasi Lemmons,Kasi Lemmons,2013,$,4894004,92 minutes
1243,R,Art House and International|Drama,Gus Van Sant,Gus Van Sant,2007,$,241672,84 minutes
1245,PG-13,Action and Adventure|Drama,,Edward Burns|Scott Frank,2004,$,20900803,112 minutes
1248,PG-13,Art House and International|Drama|Mystery and Suspense|Romance,Julian Jarrold,Trevor De Silva|Kevin Hood,2015,$,1626909,97 minutes
1254,PG-13,Action and Adventure|Art House and International|Drama,Yimou Zhang,Feng Li|Bin Wang|Yimou Zhang,2004,$,10928042,119 minutes
1269,NR,Art House and International|Drama,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,2011,$,8856,95 minutes
1274,PG-13,Action and Adventure|Drama|Western,Lawrence Kasdan,Mark Kasdan|Lawrence Kasdan,1985,$,33200000,133 minutes
1275,R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,2016,$,26973524,102 minutes
1276,R,Drama,Alexander Payne,Bob Nelson,2013,$,11348612,115 minutes
1284,NR,Action and Adventure,Dante Lam,Ji Feng,2018,$,1526248,141 minutes
1289,R,Action and Adventure|Comedy,Mark Neveldine|Brian Taylor,Brian Taylor|Mark Neveldine,2009,$,13630226,85 minutes
1297,PG,Comedy|Drama|Kids and Family,Tim McCanlies,Tim McCanlies,2003,$,41407470,107 minutes
1300,R,Drama,Josh Mond,Josh Mond,2015,$,101368,85 minutes
1302,PG-13,Drama,Clint Eastwood,Dorothy Blyskal,2018,$,35003216,120 minutes
1304,R,Drama|Mystery and Suspense,Nick Cassavetes,Nick Cassavetes,2007,$,15133185,118 minutes
1307,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,Ron Clements|John Musker,Sam Levine|Alex Mann|Ron Clements|John Musker|Rob Edwards,2002,$,38120554,95 minutes
1310,PG-13,Drama,Ryan Little,David Pliler,2008,$,549351,109 minutes
1311,PG-13,Action and Adventure|Drama|Mystery and Suspense,Paul Greengrass,Tony Gilroy,2004,$,176049130,108 minutes
1321,PG-13,Action and Adventure|Mystery and Suspense,John Stockwell,Matt Johnson,2005,$,18472363,110 minutes
1323,G,Comedy|Kids and Family,Garry Marshall,Shonda Rhimes,2004,$,95111012,113 minutes
1327,NR,Drama,Claude Gagnon,Claude Cagnon,1992,$,32000000,113 minutes
1328,PG-13,Drama,Ryan Coogler,Ryan Coogler|Aaron Covington,2015,$,81157671,132 minutes
1330,R,Comedy|Drama,Kelly Fremon Craig,Kelly Fremon Craig,2016,$,14260193,98 minutes
1331,PG-13,Action and Adventure|Drama|Mystery and Suspense,Justin Lin,Chris Morgan,2011,$,209805005,131 minutes
1350,PG-13,Classics|Drama,,,2003,$,12900000,229 minutes
1353,R,Drama|Mystery and Suspense,Will Canon,Will Canon|Douglas Simon,2011,$,16632,81 minutes
1361,PG-13,Drama|Musical and Performing Arts|Romance,Trish Sie,John Swetnam,2014,$,13617501,112 minutes
1362,PG-13,Action and Adventure|Drama,,Edward Burns|Scott Frank,2004,$,20900803,112 minutes
1376,R,Action and Adventure|Comedy|Drama,Kasi Lemmons,Michael Genet|Rick Famuyiwa,2007,$,4436352,118 minutes
1378,R,Action and Adventure|Drama|Mystery and Suspense,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,2007,$,74223625,122 minutes
1383,R,Action and Adventure|Horror|Mystery and Suspense,,,2002,$,39532308,100 minutes
1386,PG,Drama|Romance,Jane Campion,Jane Campion,2009,$,4341275,119 minutes
1393,PG,Animation|Comedy|Kids and Family,Ash Brannon,Ash Brannon|Kurt Voelker,2017,$,9404922,80 minutes
1396,PG-13,Drama,Peter Weir,,2011,$,2500000,133 minutes
1402,R,Action and Adventure|Drama,Sean Penn,Sean Penn,2007,$,18173360,148 minutes
1413,PG-13,Art House and International|Documentary,James Marsh,,2011,$,410077,99 minutes
1421,R,Drama,Danny Boyle,John Hodge,2017,$,2395410,118 minutes
1424,PG,Drama|Romance,Julian Jarrold,Sarah Williams|Kevin Hood,2007,$,18602895,120 minutes
1425,PG,Documentary,Lucy Walker,,2017,$,118253,111 minutes
1429,R,Comedy|Drama,Trey Parker,Trey Parker|Matt Stone|Pam Brady,2004,$,32700000,97 minutes
1440,R,Action and Adventure|Mystery and Suspense,David Twohy,David Twohy,2009,$,15536310,97 minutes
1442,R,Action and Adventure|Drama,Andrzej Bartkowiak,,2003,$,34600000,99 minutes
1445,PG-13,Drama|Musical and Performing Arts|Special Interest,Benson Lee,,2013,$,8888355,109 minutes
1448,R,Drama,Craig Brewer,Craig Brewer,2007,$,9262318,115 minutes
1458,PG-13,Action and Adventure|Comedy|Drama,Peter Berg,Vincent Gilligan|Vince Gilligan|Vy Vincent Ngo,2008,$,227946274,92 minutes
1464,PG-13,Comedy,David Zucker,Craig Mazin|David Zucker,2006,$,90672025,83 minutes
1469,R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,2016,$,97661826,89 minutes
1475,R,Action and Adventure|Art House and International|Drama,Daniel Lee,Daniel Lee,2015,$,72413,103 minutes
1492,PG-13,Comedy,Keenen Ivory Wayans,Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans,2006,$,58255287,90 minutes
1499,PG-13,Drama,Peter Landesman,Peter Landesman,2017,$,766428,
1500,PG-13,Comedy|Drama|Romance,Tom Dey,,2006,$,88658172,96 minutes
1502,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Alex Proyas,Akiva Goldsman|Jeff Vintar,2004,$,144738046,115 minutes
1506,R,Comedy,Harald Zwart,"Stan Seidel|Stanford Clarke ""Stan"" Seidel",2001,$,5689784,93 minutes
1509,R,Art House and International|Drama,,,2003,$,2646396,94 minutes
1510,PG-13,Action and Adventure|Comedy|Science Fiction and Fantasy,Michel Gondry,Evan Goldberg|Seth Rogen,2011,$,98000000,119 minutes
1511,PG,Comedy,Bobby Farrelly|Peter Farrelly,Bobby Farrelly|Peter Farrelly|Mike Cerrone,2012,$,41800000,92 minutes
1518,R,Comedy|Documentary|Television,Ricki Stern|Anne Sundberg,Ricki Stern,2010,$,2927972,84 minutes
1526,PG-13,Comedy|Drama,Ridley Scott,Nicholas Griffin|Ted Griffin,2003,$,36873198,116 minutes
1528,G,Animation|Kids and Family,Robert Ramirez,Robert Ramirez|Rhett Reese,2004,$,2782548,73 minutes
1530,PG,Comedy|Drama,Cameron Crowe,Aline Brosh McKenna|Cameron Crowe,2011,$,72700000,126 minutes
1536,NR,Drama|Romance,Vikramaditya Motwane,Vikramaditya Motwane|Bhavani Iyer|Anurag Kashyap,2013,$,581813,142 minutes
1537,NR,Action and Adventure|Art House and International,Ciro Guerra,Ciro Guerra|Jacques Toulemonde Vidal,2016,$,1320005,123 minutes
1541,PG-13,Action and Adventure|Science Fiction and Fantasy,Joss Whedon,Joss Whedon,2005,$,25335935,119 minutes
1542,NR,Comedy|Drama,Gauri Shinde,Gauri Shinde,2012,$,1416189,129 minutes
1545,R,Horror|Mystery and Suspense,Sebastian Gutierrez,Sebastian Gutierrez,2007,$,59371,98 minutes
1546,PG,Art House and International|Comedy|Drama,,,2002,$,794306,97 minutes
1555,R,Action and Adventure|Horror|Mystery and Suspense,,,2006,$,33886034,106 minutes
