,tconst,averagerating,numvotes,primary_title,start_year,runtime_minutes,genres
45623,tt9537008,99,417,Gini Helida Kathe,2019,138.0,Drama
63149,tt7131622,97,5600,Once Upon a Time ... in Hollywood,2019,159.0,"Comedy,Drama"
73780,tt8718580,97,639,Eghantham,2018,125.0,Drama
44325,tt9787524,97,72,DOSED,2019,82.0,Documentary
27195,tt6058226,96,2604,Ekvtime: Man of God,2018,132.0,"Biography,Drama,History"
54115,tt4131686,96,1339,I Want to Live,2015,106.0,"Adventure,Biography,Documentary"
19606,tt9343826,96,808,Ananthu V/S Nusrath,2018,149.0,"Comedy,Drama,Family"
3908,tt9680166,96,624,Yeh Suhaagraat Impossible,2019,92.0,Comedy
65037,tt9760512,96,427,D/O Parvathamma,2019,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Action
63356,tt8751896,96,98,Gangter in Morteni,2017,69.0,Drama
59836,tt4329396,96,78,Trenches of Rock,2017,87.0,"Documentary,Drama,Music"
12174,tt5963218,95,6509,Aloko Udapadi,2017,113.0,"Drama,History"
52097,tt6842524,95,829,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",2017,90.0,Documentary
63316,tt8354112,95,617,Mosul,2019,86.0,Documentary
62046,tt8866064,95,354,10 Days Before the Wedding,2018,120.0,"Comedy,Drama,Musical"
71224,tt8063272,95,349,Uninvited: Marcelo Burlon,2017,83.0,Documentary
2205,tt9417594,95,140,Kosovo: A Moment In Civilization,2017,46.0,Documentary
51975,tt3466094,95,86,Turnover,2019,123.0,"Comedy,Drama,Family"
52269,tt7842888,95,84,Never-Ending Road,2017,111.0,Drama
23086,tt7379662,95,74,From Core to Sun,2018,90.0,Documentary
35805,tt7302010,95,70,Taawdo the Sunlight,2017,98.0,Drama
55538,tt3246874,95,65,Wish Man,2019,107.0,Biography
37643,tt9689370,95,62,Pooh: The Derrick Rose Story,2019,100.0,Documentary
33777,tt6014396,95,61,Do U Want It?,2017,95.0,"Documentary,Music"
52424,tt9617716,95,60,Everybody's Everything,2019,116.0,Documentary
34642,tt6097926,95,57,Arrangiarsi: Pizza... & the Art of Living,2017,91.0,Documentary
4461,tt7738784,94,9629,Peranbu,2018,147.0,Drama
34792,tt10084190,94,952,Chandigarh amritsar chandigarh,2019,107.0,"Comedy,Drama,Romance"
68602,tt5624252,94,927,That Vitamin Movie,2016,86.0,Documentary
13554,tt9390200,94,816,Dokyala Shot,2019,122.0,Thriller
18232,tt5858514,94,797,The Children of Genghis,2017,101.0,"Adventure,Family"
4507,tt8203706,94,500,American Deep State,2019,62.0,Documentary
22219,tt3746274,94,500,Mama's Heart. Gongadze,2017,100.0,"Biography,Crime,Documentary"
72554,tt6859280,94,192,"The Nagano Tapes: Rewound, Replayed & Reviewed",2018,73.0,Documentary
27338,tt6693242,94,104,3 Wheeling,2017,101.0,"Documentary,Sport"
41950,tt7622496,94,99,250 Stepenika,2017,58.0,Documentary
10447,tt6282380,94,90,What Is Classic Rock?,2018,92.0,"Documentary,Music"
57617,tt5119202,94,90,Going Furthur,2016,96.0,"Documentary,History"
7023,tt6321972,94,80,The Flip Side: A Truth That Could Not Reach You,2015,48.0,Documentary
24275,tt4007276,94,78,Officer Involved,2017,96.0,Documentary
9486,tt5140998,94,75,Jiu Jitsu vs. the World,2015,95.0,Documentary
23902,tt5637348,94,70,Indonesia Kirana,2016,90.0,Documentary
35921,tt8090580,94,63,Noah Land,2019,109.0,Drama
64377,tt5506764,94,63,Sve je bio dobar san,2016,90.0,"Biography,Documentary,Drama"
59028,tt7507268,94,60,As Good As It Gets?,2018,97.0,Documentary
40293,tt7391970,94,57,Don't Be Nice,2018,95.0,Documentary
23125,tt7665846,94,53,From the Ground Up,2017,95.0,"Documentary,Sport"
73485,tt3713222,94,52,The Long Road to War,2018,117.0,Documentary
9643,tt5813916,93,100568,The Mountain II,2016,135.0,"Action,Drama,War"
10198,tt5354160,93,18470,Aynabaji,2016,147.0,"Crime,Mystery,Thriller"
68592,tt5593384,93,1220,Truth and Justice,2019,165.0,Drama
24944,tt10380266,93,587,Adutha Chodyam,2019,112.0,Drama
42032,tt8176142,93,532,Oru Kadhai Sollatuma,2019,102.0,Drama
68546,tt5375100,93,218,Paint Drying,2016,607.0,Documentary
57355,tt4126322,93,197,The Ataxian,2015,81.0,"Adventure,Documentary,Drama"
50907,tt5759506,93,180,Avec l'amour,2017,67.0,"Comedy,Documentary,Drama"
43436,tt4450674,93,122,Druglawed,2015,100.0,"Crime,Documentary,History"
24435,tt4556682,93,84,Ameen,2015,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
71268,tt8451712,93,77,Babysplitters,2019,119.0,Comedy
56174,tt4082606,93,67,Healing Voices,2016,90.0,"Documentary,Drama"
642,tt8593814,93,50,The Boys Are Back - Bandstand: The Broadway Musical,2018,130.0,Musical
39080,tt7444748,93,50,When I Stutter,2017,67.0,Documentary
12007,tt5311546,92,4297,Natsamrat,2016,166.0,"Drama,Family"
65961,tt6679360,92,2721,On vam ne Dimon,2017,50.0,Documentary
35816,tt7391996,92,2195,C/o Kancharapalem,2018,152.0,Drama
10319,tt5773402,92,1096,Dominion,2018,120.0,Documentary
53565,tt6545212,92,794,Leera the Soulmate,2018,104.0,Animation
13547,tt9261840,92,767,Sakala Kalasala,2019,132.0,Comedy
45622,tt9502194,92,540,The Sound Story,2019,105.0,Documentary
54670,tt6074834,92,497,Delaware Shore,2018,98.0,Drama
8611,tt6487784,92,227,Generation Freedom,2019,98.0,Documentary
25545,tt8094272,92,193,Reva,2018,159.0,Drama
3612,tt7214598,92,140,Land of Hope and Glory,2017,48.0,Documentary
60265,tt5868596,92,136,The Ukrainians,2015,85.0,"Documentary,War"
41983,tt7808072,92,122,Nagarkirtan,2017,115.0,Drama
61830,tt7305048,92,115,Chronicles of Religious Persecution in China,2017,60.0,Documentary
51128,tt6597248,92,113,Kaagaz Ki Kashti,2017,127.0,Documentary
7142,tt6980696,92,99,Curzoner Kalom,2017,115.0,Drama
39225,tt8447248,92,92,Samadhi Movie. Part 2. It's Not What You Think,2018,71.0,Documentary
5686,tt7428390,92,86,Gospel Film: A New Life Out of Tortures,2016,110.0,Drama
23113,tt7600370,92,86,Gospel Movie: God's Name Has Changed?!,2015,158.0,"Horror,Thriller"
38801,tt3278500,92,86,Donovan,2017,100.0,Drama
25480,tt7599970,92,82,Gospel Movie: The Bible and God,2017,166.0,Romance
50732,tt5119914,92,82,Good Morning,2017,110.0,Drama
29770,tt3588852,92,79,A Dog Named Gucci,2015,90.0,"Biography,Documentary,Drama"
30176,tt10080924,92,79,Sweater,2019,118.0,Drama
2139,tt8661074,92,78,Liway,2018,100.0,Drama
51092,tt6422258,92,78,Albanian Gangster,2018,81.0,"Crime,Drama"
37318,tt6754546,92,76,Continuamente amando,2015,108.0,"Mystery,Romance"
71112,tt7318364,92,74,Behind the Album: The Performances,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Music
15952,tt7993848,92,72,Spirits in the Dark,2019,70.0,"Drama,Horror,Mystery"
59030,tt7516844,92,72,Roof Culture Asia,2017,113.0,"Adventure,Sport"
7250,tt7628468,92,70,Yalniz Hayaller Kaldi,2018,85.0,Drama
36997,tt2890996,92,70,Exile by Choice,2015,77.0,Documentary
13368,tt7598990,92,69,Christian Video: Rapture in Peril - God Is My Light and My Salvation,2016,193.0,Documentary
24479,tt4746202,92,69,The Unexplored,2015,45.0,Documentary
71812,tt3950838,92,66,#O2LForever,2015,95.0,"Biography,Documentary,Music"
73178,tt2877530,92,64,You See Me,2015,72.0,"Documentary,Family,History"
45431,tt7600352,92,61,Gospel Movie: From the Throne Flows the Water of Life,2016,158.0,"Horror,Thriller"
52270,tt7858278,92,60,Rip 2 My Youth,2018,51.0,Documentary
40249,tt7121844,92,58,MacDonald Ranch,2017,48.0,Family
73651,tt7598894,92,58,Gospel Movie: Song of Victory,2016,179.0,Documentary
42134,tt9347672,92,57,Escola das Artes - o Filme,2018,95.0,Family
64781,tt7380834,92,57,The Road of Love,2017,57.0,"Drama,Romance"
7194,tt7349012,92,56,Surau dan Silek,2017,90.0,"Drama,Family"
27352,tt6739542,92,56,Behavioral Concept,2015,57.0,Documentary
53359,tt5737166,92,56,Upstate Story,2018,65.0,Drama
19510,tt8292528,92,50,Altin Fircali Adam,2018,42.0,Documentary
16066,tt9231140,91,4162,A Man Called Ahok,2018,102.0,Drama
64379,tt5510934,91,2973,The Unnamed,2016,100.0,Drama
18205,tt5732482,91,1766,Hans Zimmer: Live in Prague,2017,150.0,"Documentary,Music"
23089,tt7433762,91,666,Innocent,2017,88.0,Comedy
19581,tt8963708,91,574,And Then We Danced,2019,105.0,"Drama,Romance"
53411,tt5957600,91,528,Psycho Family,2017,91.0,Documentary
41931,tt7504214,91,386,AA BB KK,2018,121.0,Drama
33349,tt4294586,91,333,Our Little Haven,2017,113.0,Drama
64323,tt5258388,91,229,American Gospel: Christ Alone,2018,139.0,Documentary
64477,tt5891144,91,98,Spies Are Forever,2016,159.0,Musical
27520,tt7599904,91,82,Gospel Movie: Break the Spell,2017,162.0,Romance
67440,tt7599406,91,82,Waiting,2017,178.0,Drama
34720,tt6416358,91,81,Raaga,2017,123.0,Drama
34503,tt5599536,91,74,Lathe Joshi,2016,104.0,Drama
61355,tt2736168,91,71,High School 911,2016,86.0,"Action,Documentary,Drama"
41836,tt6936238,91,68,Nebeska tema,2019,108.0,"Biography,Documentary,Music"
47940,tt5482362,91,68,Heel Kick!,2017,85.0,"Comedy,Sport"
27275,tt6380508,91,67,Civilization: The Movie,2016,60.0,"Adventure,Comedy"
19097,tt3182558,91,66,Class Dismissed,2015,90.0,"Documentary,Family"
26820,tt4654472,91,64,Miles Between Us,2017,91.0,Drama
30095,tt8707516,91,63,The Men's Room,2018,74.0,Documentary
7340,tt8427178,91,62,Tritio Adhyay,2019,105.0,Drama
25327,tt6738740,91,62,G FUEL,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Action
43376,tt4208284,91,59,Rediscovering India,2017,124.0,Documentary
61728,tt6739582,91,58,Universal Program,2016,76.0,Documentary
3519,tt6673164,91,57,Breaking Balls,2017,75.0,Documentary
52138,tt7015712,91,56,Listen to Me: Untold Stories Beyond Hatred,2016,75.0,Documentary
50258,tt3577328,91,52,A Father's Journey,2015,87.0,Drama
3832,tt8661084,91,51,ML,2018,90.0,Drama
64672,tt6739894,91,50,Coyote: The Mike Plant Story,2017,105.0,"Adventure,Biography,Documentary"
4504,tt8176054,90,4854,Pariyerum Perumal,2018,154.0,Drama
61939,tt8024712,90,2992,Yowis Ben,2018,99.0,"Comedy,Drama"
73792,tt8948790,90,1778,Jersey,2019,157.0,"Drama,Sport"
49223,tt5691226,90,1089,Pashupati Prasad,2016,140.0,"Drama,Romance"
7291,tt8016662,90,879,Praana,2019,107.0,"Crime,Drama,Horror"
2159,tt8907932,90,405,Kuasha jakhon,2018,104.0,"Drama,Horror,Mystery"
40451,tt8680974,90,344,A Swedish Elephant,2018,159.0,Documentary
19313,tt6847810,90,252,National Theatre Live: Angels in America Part Two - Perestroika,2017,220.0,Drama
61861,tt7487736,90,172,Take Us Home,2017,77.0,Documentary
27635,tt8621438,90,161,Anandi Gopal,2019,134.0,Biography
24830,tt6061364,90,127,Small Group,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
13367,tt7598728,90,110,Gospel Movie: The City Will Be Overthrown,2017,160.0,Drama
19418,tt7543152,90,95,Best of Luck Laalu,2017,131.0,Comedy
59124,tt8257128,90,92,Islam and the Future of Tolerance,2018,86.0,Documentary
5344,tt3180122,90,82,John G. Avildsen: King of the Underdogs,2017,78.0,Documentary
54722,tt6255478,90,75,The Heart of Nuba,2016,85.0,Documentary
48056,tt5963908,90,74,T for Taj Mahal,2018,104.0,Drama
31809,tt6383468,90,67,Gnothi Seauton,2015,93.0,"Biography,Documentary,Sport"
16062,tt9205986,90,66,You Are Here: A Come From Away Story,2018,84.0,Documentary
31326,tt4526656,90,61,For the Love of Ruth,2015,80.0,Drama
22831,tt6076810,90,56,Skid Row Marathon,2017,85.0,Documentary
15000,tt5278386,90,51,Think and Grow Rich: The Legacy,2017,105.0,Documentary
21104,tt7816596,90,50,Above & Beyond: Giving Up the Day Job,2018,98.0,"Documentary,Music"
60112,tt5275892,89,14946,O.J.: Made in America,2016,467.0,"Biography,Crime,Documentary"
26939,tt5069074,89,2715,A Billion Lives,2016,95.0,"Documentary,History,News"
745,tt10312668,89,2111,Tell No One,2019,121.0,Documentary
9411,tt4909506,89,2001,Godhi Banna Sadharana Mykattu,2016,144.0,"Drama,Family"
66208,tt8413338,89,1947,Kumbalangi Nights,2019,135.0,"Comedy,Drama,Romance"
2080,tt8160864,89,1656,Chase,2019,84.0,Thriller
52260,tt7794052,89,1240,Merku Thodarchi Malai,2018,122.0,Drama
56281,tt4519488,89,1179,Mudras Calling,2018,95.0,"Adventure,Drama,Romance"
17220,tt6481232,89,742,Scream for Me Sarajevo,2017,95.0,"Documentary,Music,War"
45516,tt8259916,89,658,The Last Guest,2017,90.0,"Adventure,Drama,War"
1,tt10384606,89,559,Borderless,2019,87.0,Documentary
2160,tt8907970,89,517,Kavacha,2019,160.0,Thriller
64898,tt8076222,89,495,Untamed Romania,2018,90.0,Documentary
34682,tt6239540,89,484,Apocalypse Will Not Happen,2015,79.0,Drama
43879,tt6050292,89,454,Conquering Southern China,2016,101.0,Documentary
45506,tt8185004,89,445,Chal Man Jeetva Jaiye,2017,123.0,Drama
54715,tt6226212,89,427,Sand Angels,2018,71.0,Family
5590,tt6846664,89,325,National Theatre Live: Angels in America Part One - Millennium Approaches,2017,220.0,Drama
4561,tt8743090,89,319,Ilayaraja,2019,141.0,Drama
59119,tt8217244,89,291,Distant Sky - Nick Cave & The Bad Seeds Live in Copenhagen,2018,135.0,Music
51075,tt6332276,89,270,What We Left Behind: Looking Back at Deep Space Nine,2018,116.0,Documentary
72245,tt5591278,89,257,Yerma: Barren,2017,89.0,Drama
21227,tt9081472,89,218,Aickarakkonathe Bhishaguaranmaar,2018,144.0,Drama
2096,tt8250640,89,211,Jelita Sejuba: Mencintai Kesatria Negara,2018,105.0,Drama
19081,tt3135074,89,198,Mr. Rudolpho's Jubilee,2017,110.0,"Comedy,Music,Musical"
60377,tt6316170,89,184,George Takei's Allegiance,2016,130.0,Musical
23095,tt7474562,89,148,Jeff Lynne's ELO: Wembley or Bust,2017,118.0,Music
2105,tt8330720,89,146,Everybody's Talking About Jamie,2018,160.0,"Drama,Musical"
53181,tt4971062,89,139,The Last Tear,2015,53.0,Documentary
19393,tt7388678,89,124,New Heaven and New Earth,2017,57.0,Musical
4417,tt7445664,89,115,In the Deep of Winter,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Drama,Horror,Mystery"
59126,tt8263682,89,114,White Blessing,2017,104.0,Biography
44106,tt7411252,89,109,Escape from the Devil's Den,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
54166,tt4223204,89,95,Forgotten Plague,2015,81.0,"Documentary,History,News"
6546,tt4567954,89,94,Property of the State,2016,107.0,"Biography,Drama"
13558,tt9527740,89,85,Michel Legrand: Sans demi-mesure,2018,52.0,"Biography,Documentary,Music"
45456,tt7771744,89,85,"The Lord Jesus Christ Is Come: The Voice of God, Christian Movie: Knocking at the Door",2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Documentary
29950,tt7496256,89,82,Gospel Movie: Who Is My Lord,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Documentary
53020,tt4338322,89,82,Wake Up America!,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Comedy
73656,tt7638100,89,81,What a Beautiful Voice,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Comedy,Horror"
25526,tt7977914,89,76,Komaali Kings,2018,125.0,Comedy
27167,tt5970588,89,75,I Swam Enguri,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Documentary,Drama,War"
45278,tt6621408,89,75,Wally Got Wasted,2019,99.0,Comedy
40414,tt8329618,89,73,King of Boys,2018,169.0,Drama
41810,tt6782838,89,72,Chumbak,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
5893,tt9064028,89,67,The Least Professional Broadcaster,2018,79.0,Documentary
34081,tt4165152,89,63,Datuna: Portrait of America,2015,77.0,"Biography,Documentary"
15048,tt5479204,89,57,Matilda & Me,2016,58.0,Documentary
29883,tt7040270,89,57,Kornél On Tour,2017,49.0,Documentary
57754,tt5644498,89,57,At the End of the Tunnel,2018,86.0,"Comedy,Horror"
28796,tt6190796,89,54,Buzzfeed Unsolved : 3 Horrifying Cases of Ghosts and Demons,2016,46.0,Documentary
50606,tt4653808,89,54,Quality Problems,2017,106.0,"Comedy,Drama"
10614,tt0825334,89,51,Caravaggio and My Mother the Pope,2018,90.0,"Comedy,Drama"
43548,tt4863374,89,50,Black Veil Brides: Alive and Burning,2015,82.0,"Documentary,Music"
59785,tt4154796,88,441135,Avengers: Endgame,2019,181.0,"Action,Adventure,Sci-Fi"
58930,tt7019842,88,10903,96,2018,158.0,"Drama,Romance"
15820,tt7060344,88,10518,Ratsasan,2018,170.0,"Action,Crime,Thriller"
17045,tt5867800,88,8277,Aruvi,2016,130.0,Drama
29882,tt7019942,88,2254,Super Deluxe,2019,176.0,"Action,Crime,Drama"
4586,tt9151704,88,2067,Burn the Stage: The Movie,2018,84.0,"Documentary,Music"
53234,tt5190958,88,1603,Katyar Kaljat Ghusali,2015,162.0,Musical
66235,tt8665634,88,1431,Qismat,2018,137.0,"Drama,Romance"
8491,tt6023118,88,1227,Word from a Gamer,2018,92.0,Documentary
47233,tt5870084,88,1180,Beyond Brotherhood,2017,110.0,Drama
36032,tt9399712,88,818,An International Local Story,2019,123.0,"Comedy,Family"
44102,tt7380226,88,694,Okkadu Migiladu,2017,141.0,Action
36022,tt9279362,88,650,11 Days,2018,85.0,Drama
42786,tt2632928,88,613,The Epic Journey,2015,100.0,Documentary
17982,tt4869678,88,602,Superstar Kidnap,2015,120.0,Thriller
71170,tt7661396,88,427,Beers of Joy,2019,118.0,Documentary
33651,tt5495122,88,406,Das letzte Mahl,2018,80.0,"Drama,History"
15948,tt7953386,88,368,Ruta,2018,84.0,Documentary
23160,tt7960458,88,257,The Frozen Fire,2018,150.0,"Biography,Drama,History"
580,tt7984730,88,203,Spiele mit Bart: The Movie feat. Night Trap,2018,119.0,Comedy
44101,tt7378052,88,159,Musical Drama Chinese Gospel Choir 19th Performance,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
39081,tt7444934,88,142,Calvinist,2017,89.0,Documentary
22982,tt6767852,88,111,Tortured for Christ,2018,77.0,"Biography,Drama"
8629,tt6596138,88,108,Bluefish,2017,64.0,"Action,Adventure,Animation"
46448,tt3281960,88,88,Diani & Devine Meet the Apocalypse,2016,90.0,"Adventure,Comedy"
41831,tt6891660,88,84,Ayana,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
49397,tt6376792,88,83,Dhumketu,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
64789,tt7442160,88,81,Diamanti,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Crime,Drama,Thriller"
24037,tt6126006,88,76,SOLO!,2017,90.0,"Comedy,Musical,Romance"
58882,tt6739824,88,69,Upgrade,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
47352,tt6272504,88,67,Kaasav: Turtle,2016,105.0,"Drama,Family"
7296,tt8070332,88,66,Merah Putih Memanggil,2017,95.0,Action
26399,tt3384138,88,66,The Art of Losing,2015,86.0,Drama
13038,tt3259484,88,64,Pop Meets the Void,2015,88.0,"Comedy,Fantasy,Music"
33098,tt3531260,88,63,Hot Air,2016,90.0,"Comedy,Drama"
59687,tt3864638,88,63,To Love is Enemy of the Great Dull Void,2017,69.0,Comedy
59242,tt9838780,88,57,Hidden Dragon Battle,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Action
60017,tt4936398,88,55,3100: Run and Become,2018,80.0,Documentary
52980,tt4192918,88,53,The Promise,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Comedy
67527,tt8259618,88,53,Serendipity,2018,107.0,Drama
10599,tt7056906,88,52,I Love My Mum,2018,86.0,Comedy
12045,tt5491934,88,51,Burzynski: The Cancer Cure Cover-Up,2016,52.0,Documentary
28507,tt5028702,88,51,Alien Addiction,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Comedy,Drama"
62104,tt9617456,88,51,For Sama,2019,95.0,Documentary
16734,tt4630204,88,49,Among Wolves,2016,94.0,Documentary
18087,tt5265492,88,49,33 & Beyond: The Royal Art of Freemasonry,2017,90.0,Documentary
47362,tt6316138,87,26743,Ayla: The Daughter of War,2017,125.0,"Drama,History,War"
64553,tt6148156,87,18704,Vikram Vedha,2017,147.0,"Action,Crime,Thriller"
22486,tt4640206,87,7122,Sachin,2017,138.0,"Biography,Documentary,Drama"
37425,tt7465992,87,6917,Mahanati,2018,177.0,"Biography,Drama"
38822,tt3327994,87,6267,Human,2015,190.0,Documentary
17073,tt5959980,87,6217,Vada Chennai,2018,164.0,"Action,Crime"
18849,tt2473476,87,2746,Be Here Now,2015,100.0,"Biography,Documentary,Drama"
56451,tt5104080,87,2043,Surga Yang Tak Dirindukan,2015,125.0,Drama
22408,tt4360094,87,1250,A Place in the Caribbean,2017,114.0,"Drama,Romance"
44013,tt6751668,87,1235,Parasite,2019,132.0,"Drama,Thriller"
64550,tt6143782,87,1123,Hex,2018,85.0,"Horror,Thriller"
44148,tt7710160,87,1015,Breaking Barbi,2019,90.0,Comedy
30087,tt8614536,87,791,Farmlands,2018,73.0,"Crime,Documentary"
59164,tt8602654,87,707,"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",2018,147.0,Drama
1908,tt6982352,87,674,Never Leave Me,2017,96.0,Drama
67569,tt8784906,87,533,Ani... Dr. Kashinath Ghanekar,2018,159.0,Drama
40288,tt7359702,87,520,David Gilmour Live at Pompeii,2017,125.0,"Documentary,Music"
24098,tt6328046,87,461,What's My Name: Muhammad Ali,2019,165.0,"Biography,Documentary,Sport"
33299,tt4125222,87,443,The Champions,2015,90.0,"Documentary,News"
65019,tt9430780,87,382,Bell Bottom,2019,130.0,Adventure
26911,tt4974228,87,355,Ed Sheeran: Jumpers for Goalposts,2015,110.0,"Documentary,Music"
19245,tt3555534,87,351,The Singing Pond,2015,120.0,"Drama,Family,Musical"
56614,tt5723028,87,334,Oskars Amerika,2017,79.0,Family
25527,tt7984734,87,326,The Lighthouse,2019,110.0,"Drama,Fantasy,Horror"
63080,tt6713862,87,269,Samadhi,2017,60.0,Documentary
61852,tt7455754,87,237,The Game Changers,2018,88.0,Documentary
23328,tt9904844,87,218,Ott Tänak: The Movie,2019,125.0,Documentary
53548,tt6484956,87,210,One Heart: The A.R. Rahman Concert Film,2017,87.0,"Documentary,Music"
72583,tt10229598,87,163,The Pickup Game,2019,96.0,Documentary
69660,tt5186078,87,147,Roxy the Movie,2015,116.0,"Documentary,Music"
62125,tt9914286,87,136,Sokagin Çocuklari,2019,98.0,"Drama,Family"
46527,tt3499542,87,133,Black Ruby,2017,91.0,Drama
71210,tt7972674,87,131,Hey Ram Hamne Gandhi Ko maar Diya,2018,106.0,Drama
13476,tt8385210,87,130,100 metu kartu,2018,65.0,Documentary
27458,tt7292306,87,123,If You're Gone,2019,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
61890,tt7636058,87,123,The Moment of Change,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Drama,Mystery"
4442,tt7637558,87,97,Stay Out of My Business,2017,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Documentary,Sport"
27392,tt6916554,87,93,A Mindful Choice,2016,73.0,Documentary
